,route_acc,type_acc,climate_acc,day_acc,month_acc,years_acc,scene_acc,road_surface,time_acc,level_acc
1,บางนา-ชลบุรี,อื่นๆ,แจ่มใส,1,1,2019,ทางตรง,,1,ACC
2,ดาวคะนอง -  แสมดำ,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,1,1,2019,ทางตรง,ไม่มีความลาดชัน,2,ACC
3,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,1,1,2019,ทางตรง,ไม่มีความลาดชัน,3,ACC
5,คลองพระยาสุเรนทร์ - บางพลี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,1,1,2019,ทางตรง,ไม่มีความลาดชัน,4,ACC
7,คลองพระยาสุเรนทร์ - บางพลี,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,1,1,2019,ทางตรง,ไม่มีความลาดชัน,4,ACC
9,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถตู้,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,1,ACC
10,พญาไท-ศรีนครินทร์,รถตู้,แจ่มใส,2,1,2019,ทางตรง,,1,ACC
12,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,1,ACC
13,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,1,ACC
14,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,1,ACC
15,สุขสวัสดิ์-บางขุนเทียน,,แจ่มใส,2,1,2019,ทางตรง,,1,ACC
16,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,2,ACC
17,พญาไท-ศรีนครินทร์,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,2,1,2019,ทางตรง,,2,ACC
18,พญาไท-ศรีนครินทร์,,แจ่มใส,2,1,2019,ทางตรง,,2,ACC
19,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,2,ACC
21,คลองพระยาสุเรนทร์ - บางพลี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,2,ACC
22,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,3,ACC
23,พระประแดง - บางแค,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,3,ACC
24,คลองพระยาสุเรนทร์ - บางพลี,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,3,ACC
25,แขวงรามอินทรา - บางพลี,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,4,ACC
26,ถนนศรีนครินทร์ - บางปะกง,รถโดยสารขนาดใหญ่,แจ่มใส,3,1,2019,ทางตรง,ไม่มีความลาดชัน,4,ACC
28,บางนา-ชลบุรี,รถตู้,แจ่มใส,4,1,2019,ทางตรง,,1,ACC
29,สุขสวัสดิ์-บางขุนเทียน,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,4,1,2019,อื่นๆ,,1,ACC
30,บางปะอิน - คลองพระยาสุเรนทร์,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),แจ่มใส,4,1,2019,ทางตรง,ไม่มีความลาดชัน,1,ACC
31,แจ้งวัฒนะ-พญาไท,,แจ่มใส,4,1,2019,ทางตรง,,1,ACC
